Id,SalePrice
2658,138878.5869
2718,172066.7898
2414,210108.3486
1989,112551.3273
625,179901.6234
333,83829.8653
1327,93353.989
858,145510.8693
95,185661.8823
1568,145915.4012
2482,165970.4202
1364,114348.0125
2584,149086.015
818,291136.5237
2673,160141.2604
2089,128486.4736
1297,151358.3312
790,113493.0039
2616,190524.5529
720,214785.759
222,141127.9883
557,124805.935
1148,199078.3542
2766,166369.6618
534,187894.0682
1452,109660.8461
630,133305.6926
2648,148032.3104
125,169164.3519
1904,31708.86
1670,96998.5905
756,94886.2526
717,256187.8805
1032,159090.3832
852,212008.5234
1731,166990.3878
2639,126399.0446
2071,52829.3035
1267,119761.6766
1851,190757.3242
567,159141.6986
2439,208200.0008
1898,142439.1206
647,173770.4998
2256,234191.1128
979,89863.7635
1444,223433.9089
2485,118636.0799
157,111267.8773
88,126161.4341
2003,117613.2314
186,238611.8471
1425,269512.4369
2695,127458.1891
738,122873.0154
395,139553.7343
1353,176388.2138
1878,145388.169
390,152698.687
1456,259905.0349
1103,348049.066
1387,149445.015
2070,140727.0854
1199,175129.0259
2479,178913.2782
501,320237.1819
2362,89629.1517
1718,220645.8783
2188,77882.2662
1483,174425.033
2557,84543.7125
437,364081.9164
2224,204097.9625
1628,181489.1103
397,131036.9688
587,207510.4503
2182,622468.9052
971,138216.1472
2611,159238.7258
1887,81050.3637
2399,373908.8137
2148,205478.7954
304,124796.3144
1997,135200.9015
2817,103760.4283
1431,182289.636
427,334139.404
263,107180.3382
598,184913.0184
2895,235704.448
687,138176.1464
1822,131728.3391
2191,103728.4316
179,119229.152
1009,219259.7475
2010,107903.1538
1991,151711.8511
1411,181689.9664
1721,223768.9374
1144,187698.2573
593,214804.3341
575,313339.3028
1249,178416.6917
1604,115329.6829
1064,455346.9161
1923,168262.3532
1988,100581.3964
2325,173061.4837
114,231095.6632
2700,172672.2077
217,135941.7133
343,180461.1023
386,223822.3194
2005,103864.891
2908,126914.7596
1814,257279.9321
2446,504879.3267
208,144317.7227
1679,98650.1073
822,350412.0796
6,188614.0781
1781,407395.2383
2397,299168.8291
2340,287722.3491
1618,156948.79
2843,167479.8474
1061,363925.4501
2786,113983.087
1935,129201.7746
1341,113778.3181
521,282473.9895
2136,122449.0762
996,185306.1458
227,133647.0779
135,184019.2224
1167,147156.7675
294,233916.1624
1776,189309.1588
540,181777.5569
1717,216566.2409
2303,119035.098
116,181601.9144
127,124527.3129
1371,132140.2588
1014,173998.7535
1507,81396.4825
702,141869.2784
750,150200.7728
261,152822.0691
1559,65688.5492
577,216812.1919
2812,195903.8789
2080,171876.4852
1368,118734.868
2376,127447.7365
659,120420.8368
1235,134000.2665
332,74850.0422
1917,143248.4117
2094,262052.6414
1460,257133.8083
1471,216450.3343
1509,118294.3061
1922,119721.7135
433,457941.4434
460,265811.5888
1116,249172.0833
1137,170901.5759
53,176246.6243
2354,257121.2152
1475,190224.9305
1761,526093.3038
842,132289.7228
2739,186091.4337
2509,157776.4342
1007,210942.102
2610,181561.823
1952,100745.1006
2719,174402.0785
2921,83293.0322
1966,140408.4636
292,145516.9493
1204,194722.2879
1829,234281.0658
2419,181970.6961
391,141566.275
798,121673.1467
481,205297.1698
193,207568.8351
555,104539.3716
899,43022.9029
2357,166102.6931
328,132967.1862
1356,109956.7721
1154,103102.946
1730,176468.0625
2249,146991.0975
1119,288013.8084
2856,142388.1055
1394,132731.3169
2587,115960.3172
61,315293.7992
2661,177045.8521
2711,130057.4082
1147,193798.0022
757,143013.6607
2623,68771.4164
2378,129633.924
1413,149185.1135
1722,213976.702
1112,238718.239
1623,184712.3946
1201,194992.0103
1513,119154.1776
957,411238.7026
1171,279864.3459
1145,200642.5986
2726,230114.7783
703,139012.7236
760,116685.13
1964,133918.7528
2512,182058.3573
159,168224.8487
1281,171603.8192
468,190945.1361
290,113094.0488
665,108330.4393
1463,245620.8384
1792,232009.8461
923,156152.1005
500,294179.1072
1408,180048.4539
331,70097.1222
170,158133.6936
2192,92041.9195
2571,317507.5331
2314,168929.7927
2647,89053.9989
422,434552.4212
2457,381891.9021
1838,195201.7982
2805,238243.6447
1645,134629.5461
1711,300319.3673
2825,246401.852
322,335773.7422
2103,277643.3388
342,127096.618
600,99610.3564
488,170709.3404
1725,295347.5829
2246,279855.6745
2847,161119.8409
806,244315.172
530,225185.8484
963,182835.9708
2678,104269.7729
171,86777.2446
2401,419768.6207
805,223550.7144
2259,238675.2957
1748,184980.4349
1361,144883.1071
1677,125959.3098
1406,157984.8491
2322,232450.7083
688,154320.2764
143,149639.8168
804,212027.6836
1214,166051.092
2828,147207.6076
1999,204669.5702
2467,182721.0522
2665,164928.8016
1538,362328.6287
398,98551.6625
2822,146196.663
