Id,SalePrice
2658,139083.9337
2718,172306.2967
2414,210289.6286
1989,112825.911
625,179843.2263
333,84087.2633
1327,93552.4686
858,146101.5059
95,185581.703
1568,146238.1026
2482,166451.8367
1364,114592.8438
2584,149330.093
818,287530.1262
2673,160371.6564
2089,128353.7634
1297,151256.5166
790,113744.0423
2616,190593.7649
720,215294.1544
222,141105.2069
557,124595.4428
1148,199173.8826
2766,166180.7589
534,187701.8658
1452,109882.2389
630,133388.1435
2648,148550.7943
125,169341.6634
1904,31207.1668
1670,96939.3118
756,95442.0046
717,255267.7389
1032,159150.1109
852,212397.7848
1731,166711.9942
2639,126781.9722
2071,52998.5751
1267,120013.9882
1851,190514.1067
567,158830.7856
2439,208192.9565
1898,142712.9374
647,173970.6053
2256,234150.6962
979,89507.4256
1444,223600.5732
2485,118734.6695
157,111335.3668
88,126223.7764
2003,117903.1287
186,236420.2779
1425,269274.6912
2695,127586.3728
738,122813.0035
395,140029.6414
1353,176640.4006
1878,145640.6663
390,152896.5784
1456,259957.0874
1103,347602.6378
1387,149508.8168
2070,140899.2846
1199,175449.0468
2479,179235.7281
501,320318.1714
2362,89158.4985
1718,220396.8841
2188,77331.7283
1483,174515.1846
2557,84404.5272
437,363940.721
2224,203905.933
1628,181395.1698
397,131175.3504
587,207943.6403
2182,620011.4138
971,138824.1249
2611,159235.2085
1887,80859.5505
2399,373492.67
2148,205340.1371
304,124786.4165
1997,135296.063
2817,104148.6723
1431,182454.4001
427,333647.1923
263,107618.652
598,185002.8694
2895,235606.8799
687,138512.0138
1822,131858.3932
2191,103877.7002
179,119313.9669
1009,219059.6409
2010,108147.739
1991,151877.0073
1411,181781.2181
1721,224143.3232
1144,188039.1917
593,215003.6096
575,312969.0924
1249,178452.2031
1604,115499.323
1064,455030.385
1923,167986.7189
1988,100371.0244
2325,173012.0135
114,228550.3872
2700,173059.8321
217,135988.4402
343,180128.1974
386,223597.5547
2005,103709.9339
2908,126355.9355
1814,256877.5355
2446,502435.6
